Restaurant_id,Name,Cuisine Style,Rating
R29,Entree,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegan Options', 'Vegetarian Friendly']",4.5
R30,Mani Bistrot,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Contemporary', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R31,Ristorante Omega 3,"['Italian', 'Seafood', 'Mediterranean', 'Gluten Free Options']",4.5
R32,Nuovo Yacht,"['Italian', 'Mediterranean', 'Seafood', 'European', 'Soups', 'Gluten Free Options']",4.5
R33,Panino LAB,"['Italian', 'Mediterranean', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",4.5
R34,Il Prime Milano,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R35,Nishiki,"['Japanese', 'Seafood', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R36,Pizzeria Snuppi,"['Italian', 'Pizza', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",4.5
R37,Ristorante Il Delfino,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Gluten Free Options']",4.5
R38,Il Luogo di Aimo e Nadia,"['Italian', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R39,Essenza,"['Italian', 'Seafood', 'Mediterranean', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R40,Paranoia Cafe,"['Italian', 'Bar', 'Cafe', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R41,Cibario,"['Italian', 'Mediterranean', 'European', 'Street Food', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R42,Risoelatte,"['Italian', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R43,Ristorante Berton,"['Italian', 'Seafood', 'Mediterranean', 'European', 'International', 'Contemporary', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R44,Ristorante Sa Mesa,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Soups', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R45,Beirut Ristorante,"['Lebanese', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",4.5
R46,Trattoria la Vecchia Guardia,"['Italian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R47,Il Panzerotto,"['Italian', 'Fast Food', 'Mediterranean', 'Vegetarian Friendly']",4.5
R48,El Porteno,"['Steakhouse', 'Latin', 'Barbecue', 'Argentinean', 'South American', 'Gluten Free Options']",4.5
R49,Burger Wave Colonne,"['American', 'Bar', 'Fast Food', 'Australian', 'Vegetarian Friendly', 'Vegan Options']",4.5
R50,Pasta d'Autore,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",4.5
R51,Yokohama Flavour Journey Cuisine,"['Fusion', 'Japanese', 'Seafood', 'Sushi', 'Asian', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",4.5
R52,Il Capestrano Ristorante Abruzzese,"['Barbecue', 'Italian', 'Mediterranean', 'Soups', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R53,Platina,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",4.5
R54,Trattoria de la Trebia,"['Steakhouse', 'Italian', 'Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R55,Alice Ristorante,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R56,Rita,"['Italian', 'Bar', 'Vegetarian Friendly', 'Vegan Options']",4.5
R57,Armani Bamboo Bar,"['Italian', 'Bar', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R58,Verace,"['Italian', 'Pizza', 'Fast Food', 'Mediterranean', 'Delicatessen', 'Gastropub', 'Vegetarian Friendly', 'Vegan Options']",4.5
R59,San Mauri,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R60,Trattoria Arlati dal 1936,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R61,Tre Cristi Milano,"['Seafood', 'Mediterranean', 'Italian', 'European', 'Vegan Options']",4.5
R62,Faccio Cose Vedo Gente,"['Italian', 'Mediterranean', 'European', 'Wine Bar', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R63,Portobello,"['Italian', 'Pizza', 'Seafood', 'Vegetarian Friendly', 'Vegan Options']",4.5
R64,Poporoya Sushi Bar E Alimentari Giapponesi,"['Japanese', 'Seafood', 'Sushi', 'Asian', 'Soups', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R65,Ristorante Pizzeria One Way della Speranza,"['Italian', 'Pizza', 'Seafood', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R66,Osteria Conchetta,"['Italian', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R67,Spazio,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R68,Noblesse Oblige,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R69,Botinero,"['Italian', 'Steakhouse', 'Seafood', 'Mediterranean', 'Argentinean', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R70,C'era una Volta una Piada,"['Italian', 'Fast Food', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",4.5
R71,Sikelaia Ristorante,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",5.0
R72,Gong Oriental Attitude,"['Chinese', 'Seafood', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R73,El Gaucho,"['Steakhouse', 'Latin', 'Barbecue', 'Argentinean']",4.0
R74,Ristorante Nabucco,"['Italian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R75,Al Porto,"['Italian', 'Seafood', 'Mediterranean', 'Soups', 'Gluten Free Options']",4.5
R76,Ristorante Xiongdi,"['Chinese', 'Japanese', 'Seafood', 'Sushi', 'Asian', 'Middle Eastern', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R77,El Porteno Arena,"['Steakhouse', 'Latin', 'Barbecue', 'Argentinean', 'South American', 'Gluten Free Options']",4.5
R78,Toasteria Mi Casa,"['Fast Food', 'Italian', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R79,Osteria Al Molo 13,"['Italian', 'Seafood', 'Mediterranean', 'Soups', 'Gluten Free Options']",4.5
R80,Mao Hunan,"['Chinese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R81,Ravioleria Sarpi,"['Chinese', 'Fast Food', 'Asian', 'Vegetarian Friendly', 'Vegan Options']",4.5
R82,Joia,"['Italian', 'European', 'Healthy', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R83,Guyot,"['Italian', 'Mediterranean', 'European', 'Wine Bar', 'Vegan Options', 'Gluten Free Options']",4.5
R84,Vento di Sardegna,"['Italian', 'Seafood', 'Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R85,Ciaccia Coi Ciccioli,"['Delicatessen', 'Wine Bar', 'Mediterranean']",4.5
R86,Da Zero,"['Pizza', 'Italian', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R87,La Rava e la Fava,"['Italian', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R88,Da Salvatore Trattoria Siciliana,"['Italian', 'Seafood', 'Mediterranean', 'Delicatessen', 'Vegetarian Friendly']",4.5
R89,Trattoria Bertame,"['Italian', 'Seafood', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R90,Rossini Restaurant Pizzeria,"['Italian', 'Pizza', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R91,Langosteria,"['Italian', 'Seafood', 'Mediterranean', 'Soups', 'Gluten Free Options']",4.5
R92,Gli Orti Del Belvedere,"['Italian', 'Seafood', 'Mediterranean', 'Vegetarian Friendly']",4.5
R93,Le Striatelle,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",4.5
R94,Ristorante Pizzeria O' Surdato 'Nnammurato,"['Italian', 'Pizza', 'Mediterranean', 'Vegetarian Friendly']",4.5
R95,La Collina d'Oro,"['Chinese', 'Japanese', 'Seafood', 'Sushi', 'Asian', 'Thai', 'Vietnamese', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R96,Il Politico,"['Italian', 'Fast Food', 'Vegetarian Friendly']",4.5
R97,Galleria Restaurant & Pizza,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R98,Valentino Legend Milano,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R99,Casa Ramen,"['Japanese', 'Asian', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",4.5
R100,La Prosciutteria Milano Brera,"['Delicatessen', 'Italian', 'Mediterranean', 'Wine Bar']",4.5
R101,Ba Asian Mood,"['Chinese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R102,La Parrilla Mexicana,"['Mexican', 'Latin', 'Central American', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R103,Osteria Fara,"['Italian', 'Pizza', 'Seafood', 'Mediterranean', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R104,Barmare,"['Italian', 'Seafood', 'Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R105,Grigliamania,"['Italian', 'Seafood', 'Mediterranean', 'Barbecue', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R106,Noodle House,"['Seafood', 'Asian', 'Korean', 'Soups', 'Vegetarian Friendly', 'Vegan Options']",4.5
R107,"Osteria del Pesce ""Al Pontile""","['Seafood', 'Gluten Free Options']",4.5
R108,Gallura,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Gluten Free Options']",4.5
R109,La Rosa dei Venti,"['Italian', 'Seafood', 'Mediterranean', 'Soups', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R110,Sadler,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R111,Bem Brasil,"['Barbecue', 'South American', 'Brazilian', 'Latin']",4.5
R112,Flower Burger,"['Fast Food', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R113,Hana Restaurant,"['Japanese', 'Seafood', 'Sushi', 'Asian', 'Fusion', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R114,Fukurou,"['Japanese', 'Seafood', 'Sushi', 'Asian', 'Soups', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R115,Caminetti del Sempione,"['Mediterranean', 'Italian', 'European', 'Vegetarian Friendly', 'Vegan Options']",4.5
R116,Primonovecento Osteria,"['Italian', 'Seafood', 'Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",4.0
R117,Mandarin 2,"['Chinese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R118,The Brisket Milano,"['American', 'Steakhouse', 'Barbecue', 'Gluten Free Options']",4.5
R119,Copacabana Temakeria - Brazilian Sushi,"['Japanese', 'Brazilian', 'Seafood', 'Sushi', 'Asian', 'Fusion', 'Vegetarian Friendly', 'Gluten Free Options']",4.0
R120,Le Tournedos,"['Italian', 'Seafood', 'Mediterranean', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R121,Nectare,"['Mediterranean', 'Italian', 'Seafood', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R122,Tartufotto,"['Italian', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R123,Cantina della Vetra,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R124,Mes Amis,"['Mediterranean', 'Italian', 'Seafood', 'European', 'Vegetarian Friendly']",4.5
R125,Pizzeria da Pino,"['Italian', 'Pizza', 'Mediterranean', 'Vegetarian Friendly']",4.5
R126,Don Juan,"['Steakhouse', 'Latin', 'Barbecue', 'Argentinean', 'South American', 'Gluten Free Options']",4.0
R127,Su Garden,"['Chinese', 'Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R128,Limone Ristorante con Pizza,"['Sushi', 'Grill', 'Pizza', 'Seafood', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']",4.0
R129,El Barbapedana,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",4.5
R130,Ciaccia coi Ciccioli via Mora,"['Italian', 'Mediterranean', 'Delicatessen', 'Wine Bar']",4.5
R131,La Pizzeria Marghe,"['Italian', 'Pizza', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",4.0
R132,The Friends Pub Milano,"['Italian', 'Bar', 'British', 'Pub', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R133,Delicatessen - L'Alto Adige a tavola,"['Italian', 'Austrian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R134,Pescetto,"['Italian', 'Seafood', 'Mediterranean', 'Gluten Free Options']",4.5
R135,Je suis Jambon,"['Italian', 'Bar', 'European', 'Pub', 'Brew Pub', 'Vegetarian Friendly']",4.5
R136,Ristorante Santa Virginia,"['Italian', 'Seafood', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R137,Ingalera,"['Italian', 'Seafood', 'Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R138,Mamma Rosa Osteria Grill,"['Italian', 'Seafood', 'Mediterranean', 'Vegan Options', 'Gluten Free Options', 'Vegetarian Friendly']",4.5
R139,Sushi Ran Bovisa,"['Chinese', 'Japanese', 'Sushi', 'Fusion', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R140,Serendib,"['Indian', 'Asian', 'Sri Lankan', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R141,Ribot,"['Italian', 'Steakhouse', 'Mediterranean', 'Barbecue', 'European', 'Gluten Free Options']",4.0
R142,La cala,"['Italian', 'Seafood', 'Mediterranean']",4.5
R143,La Taverna della Trisa,"['European', 'Vegetarian Friendly']",4.5
R144,Il Solferino,"['Italian', 'Mediterranean', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R145,Bomaki Sempione,"['Japanese', 'Brazilian', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R146,El Carnicero,"['Steakhouse', 'Latin', 'Barbecue', 'South American', 'Gluten Free Options']",4.5
R147,Pizzeria Assaje,"['Pizza', 'Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R148,Piadineria Doppio Zero,"['Vegetarian Friendly', 'Vegan Options']",4.5
R149,Andry,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R150,Shaolin State of Harmony - Raw Vegan,"['Healthy', 'Soups', 'Vegan Options', 'Vegetarian Friendly', 'Gluten Free Options']",5.0
R151,Taverna degli Amici,"['Italian', 'Mediterranean', 'Barbecue', 'Gluten Free Options']",4.0
R152,Ronchi78,"['Mediterranean', 'Italian', 'Vegetarian Friendly']",4.0
R153,Zushi Milano Japanese Restaurants,"['Japanese', 'Seafood', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R154,Osteria Alla Grande,['Italian'],4.0
R155,L'Antro della Sibilla,"['Seafood', 'Italian', 'Pizza', 'Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",4.0
R156,Isola dei Sapori,"['Italian', 'Seafood', 'Mediterranean', 'Soups', 'Vegetarian Friendly', 'Gluten Free Options']",4.0
R157,Sauris & Borc da Bria,"['Italian', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R158,Dawali,"['Lebanese', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",4.0
R159,Pizzeria Napulegna,"['Italian', 'Pizza', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",4.5
R160,Ristorante a'Riccione,"['Seafood', 'Mediterranean', 'Italian', 'Gluten Free Options']",4.0
R161,Sciura Maria Panzerotti,"['Italian', 'Fast Food', 'Mediterranean', 'Street Food', 'Delicatessen', 'Vegetarian Friendly']",4.5
R162,Raki,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",5.0
R163,La Bottarga,"['Italian', 'Seafood', 'Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R164,La Griglia di Varrone,"['Italian', 'Steakhouse', 'Mediterranean', 'Barbecue', 'European', 'International', 'Grill', 'Gluten Free Options']",4.0
R165,Ristorante Da Oscar,"['Italian', 'Seafood', 'Mediterranean', 'Vegetarian Friendly']",4.0
R166,Tram,"['Italian', 'Street Food', 'Fast Food']",4.5
R167,Meat Art,"['Mediterranean', 'European', 'Gluten Free Options']",4.5
R168,Osteria Caneva,"['Seafood', 'Soups', 'Italian', 'Mediterranean', 'Vegetarian Friendly']",4.5
R169,Bomaki Foppa,"['Japanese', 'Brazilian', 'Seafood', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Gluten Free Options']",4.0
R170,La Taverna,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",4.0
R171,Baobab Burger Organico,"['Italian', 'Bar', 'Vegetarian Friendly']",4.0
R172,Ristorante Shannara2,"['Italian', 'Seafood', 'Mediterranean', 'Soups', 'Gluten Free Options']",4.5
R173,Asola | Cucina Sartoriale,"['Italian', 'Seafood', 'Mediterranean', 'European', 'International', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R174,Osteria Brunello,"['Italian', 'Mediterranean', 'Vegetarian Friendly', 'Gluten Free Options']",4.0
R175,Note di Cucina,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",4.0
R176,Cacio e Pepe,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",4.0
R177,Terrazza Gallia,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R178,Hostaria Borromei,"['Italian', 'Mediterranean', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R179,Trattoria Sabbioneda,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",4.0
R180,Angus and More,"['Fast Food', 'American', 'Vegetarian Friendly', 'Vegan Options']",4.5
R181,Trattoria Mibabbo,"['Italian', 'Mediterranean', 'Barbecue', 'Vegetarian Friendly']",4.0
R182,Oficina do Sabor,"['South American', 'Brazilian', 'Barbecue']",4.5
R183,Ristorante Ta Hua,"['Chinese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R184,Trattoria Mirta,"['Italian', 'Mediterranean', 'International', 'Vegetarian Friendly']",4.0
R185,Da Noi In,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R186,Da Puccini,"['Italian', 'Pizza', 'Seafood', 'Mediterranean', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R187,Langosteria Bistrot,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Gluten Free Options']",4.0
R188,Luini,"['Italian', 'Fast Food', 'Vegetarian Friendly']",4.0
R189,Alba d'Oro,"['Italian', 'Mediterranean', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R190,Alhambra Risto Veg,"['Italian', 'Middle Eastern', 'International', 'Gastropub', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R191,Stella d'Asia,"['Chinese', 'Seafood', 'Asian', 'Healthy', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R192,Gesto Milano,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R193,Galeria Antica Trattoria,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",4.0
R194,Bio Solaire,"['Italian', 'Pizza', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R195,Greek Fusion,"['Fast Food', 'Mediterranean', 'Greek', 'Fusion', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R196,Awash,"['African', 'Ethiopian', 'Vegetarian Friendly', 'Vegan Options']",4.0
R197,Salsamenteria di Parma,"['Italian', 'Mediterranean']",4.0
R198,Osteria Del Gnocco Fritto,"['Italian', 'Mediterranean']",4.0
R199,La Cantina Del Giannone,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.5
R200,Mamajuana Restaurant,"['Caribbean', 'Latin', 'South American', 'Colombian', 'Central American', 'Vegetarian Friendly']",4.5
R201,Ristorante Antica Osteria Stendhal,"['Italian', 'Mediterranean', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R202,Antica Pizzeria Leone,"['Italian', 'Pizza', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",4.0
R203,La Brisa,"['Italian', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R204,Non Solo Lesso,"['Italian', 'Mediterranean']",4.0
R205,Giannasi 1967,"['Italian', 'Fast Food', 'Mediterranean', 'European', 'Vegetarian Friendly']",4.5
R206,Lacerba,"['Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",4.0
R207,La Locanda del Gatto Rosso,"['Italian', 'Mediterranean', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R208,Basara Milano - Sushi Pasticceria,"['Japanese', 'Seafood', 'Sushi', 'Asian', 'Fusion', 'Vegetarian Friendly', 'Gluten Free Options']",4.5
R209,Belle Donne Bistrot,"['Italian', 'Mediterranean', 'Seafood', 'European', 'Vegetarian Friendly', 'Vegan Options']",4.0
R210,Bomaki Sanzio,"['Japanese', 'Brazilian', 'Seafood', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R211,Conch,"['Japanese', 'Seafood', 'Sushi', 'Asian', 'Soups', 'Fusion', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R212,Bjork Swedish Brasserie & Side Store,"['European', 'Swedish', 'Scandinavian', 'Norwegian', 'Vegetarian Friendly', 'Vegan Options']",4.0
R213,Osteria dell'Acquabella,"['Italian', 'Wine Bar']",4.0
R214,Dawat - Indian Restaurant,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
R215,Ceresio 7 Pools & Restaurant,"['Italian', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0
